新闻类别	标题	发布时间	链接详情	新闻内容
education	河海大学：以教育家精神引领高素质专业化教师队伍建设	2024-10-15	http://edu.people.com.cn/n1/2024/1015/c1006-40339740.html	三是要以教育家精神为引领，潜心培育时代新人。不久前，党中央围绕弘扬教育家精神、加强新时代高素质专业化教师队伍建设作出新的部署。近年来，学校在建设教育强国的新征程上，紧扣立德树人根本任务，引导教师要坚持以“情怀”立心，践行育人使命，以“四有好老师”为标准，赓续爱国爱水的红色基因，弘扬务实重行的教育传统，厚植江河安澜的济世情怀，高擎向海而行的强国梦想，自觉扛起高等教育“国家队”的使命责任，当好中华民族“梦之队”的筑梦人。要坚持以“发展”立志，提高育人质量，用发展的眼光看待教育、看待学生，以学生的全面发展为根本目标，不断深化对教育规律的认识，有组织地开展教学改革前瞻布局和系统谋划，齐心协力回答好行业最好的教育“是怎样、怎样办”的核心问题，切实为国家水安全保障和高质量发展培养高素质复合型卓越人才。要坚持以“创新”立行，提升育人能力，坚持终身学习，永葆精益求精的专业精神，与时俱进更新教育理念，创新内容方法，努力成为“工匠型”“学者型”“专家型”教师。要坚持以“品德”立身，夯实育人底色，厚植江河安澜的济世情怀和向海而行的强国梦想，以“宽基础，强实践，重创新”为导向，高站位提升人才自主培养能力，精准融合新质生产力发展需要，为国家水安全保障和高质量发展，培养引领行业发展和服务强国建设的高素质复合型卓越人才。
education	“两弹一星”纪念地灯塔在中国科学院大学点亮	2024-10-14	http://edu.people.com.cn/n1/2024/1014/c1006-40339048.html	人民网北京10月14日电 记者从中国科学院获悉，“两弹一星”纪念地灯塔点亮仪式13日在中国科学院大学(以下简称国科大)雁栖湖校区举行。
education	“两弹一星”纪念地灯塔在中国科学院大学点亮	2024-10-14	http://edu.people.com.cn/n1/2024/1014/c1006-40339048.html	国科大雁栖湖校区“两弹一星”纪念塔原系怀柔火箭试验基地的水塔区，是试验基地中的最高建筑。水塔改建为灯塔，并将底部区域拓展成书吧，使书吧和灯塔融为一体，成为校园内传承“两弹一星”精神的文化地标。启动仪式后，“两弹一星”灯塔书吧正式面向广大师生、校友开放。
education	“两弹一星”纪念地灯塔在中国科学院大学点亮	2024-10-14	http://edu.people.com.cn/n1/2024/1014/c1006-40339048.html	据悉，本次“两弹一星”纪念地灯塔点亮仪式是国科大为庆祝学校成立75周年、新中国成立75周年、中国第一颗原子弹爆炸成功60周年而推出的系列纪念活动之一，旨在弘扬与传承“两弹一星”精神。（郝孟佳、实习生田怡婷）
education	2024高等教育国际论坛年会发布《人才培养与科技创新北京倡议》	2024-10-14	http://edu.people.com.cn/n1/2024/1014/c367001-40339034.html	人民网北京10月14日电 12日至13日，以“科技创新与可持续发展”为主题的2024高等教育国际论坛年会在北京召开，来自全球30多个国家和地区的近500位嘉宾代表现场参会。
education	2024高等教育国际论坛年会发布《人才培养与科技创新北京倡议》	2024-10-14	http://edu.people.com.cn/n1/2024/1014/c367001-40339034.html	论坛上，《人才培养与科技创新北京倡议》发布。倡议提出，要顺应可持续发展大趋势，推动教育科技人才一体发展，发挥高等教育龙头作用，重塑创新人才培养模式，坚持人的自由全面发展，扩大高水平国际交流合作，共绘人类命运共同体新图景。以下为倡议全文——
education	2024高等教育国际论坛年会在北京召开	2024-10-14	http://edu.people.com.cn/n1/2024/1014/c367001-40339016.html	人民网北京10月14日电 12日至13日，2024高等教育国际论坛年会在北京召开。本届论坛的主题为“科技创新与可持续发展”，来自全球30多个国家和地区的近500位嘉宾代表现场参会。
education	2024高等教育国际论坛年会在北京召开	2024-10-14	http://edu.people.com.cn/n1/2024/1014/c367001-40339016.html	教育部党组成员、副部长吴岩在开幕式上指出，高水平科技的发展和合作，高等教育大有可为、也必须大有作为。中国积极推动高校加强顶尖人才培养、科技创新突破、学科专业优化布局的“三位一体”改革，推动高校提升青年教师科研创新能力，推动央地合作建设全国高校区域技术转移转化中心。中国高校愿与各国大学携手努力，加强高校间互学互鉴、共建共享，深化务实合作。吴岩提出三点倡议：主动敞开胸怀，共同携手育人；积极应对挑战，共同加强攻关；完善治理能力，共同营造良好生态。
education	2024高等教育国际论坛年会在北京召开	2024-10-14	http://edu.people.com.cn/n1/2024/1014/c367001-40339016.html	联合国教科文组织东亚多部门地区办事处主任、驻华代表夏泽翰在视频致辞中表示，当今世界高等教育对于培养创造人才、推动创新研究、促进社会福祉十分重要，是可持续和前瞻性发展的基础。中国为实现教育体系现代化作出的努力值得肯定与赞扬，为可持续发展做出了贡献。要重视技术在塑造教育未来方面的关键作用，促进以人为本的合作，提供可触及且包容性强的教育。他希望与合作伙伴一起，打造一个积极参与、相互关联、富有弹性的高等教育体系。
education	2024高等教育国际论坛年会在北京召开	2024-10-14	http://edu.people.com.cn/n1/2024/1014/c367001-40339016.html	中国高等教育学会副会长林蕙青，同济大学校长、中国工程院院士郑庆华，山东大学党委书记任友群，中国高等教育学会副会长、中国科学院院士严纯华，中国高等教育学会学术发展咨询委员会副主任、武汉理工大学校长杨宗凯等出席论坛并作主旨报告。
education	2024高等教育国际论坛年会在北京召开	2024-10-14	http://edu.people.com.cn/n1/2024/1014/c367001-40339016.html	论坛上，《人才培养与科技创新北京倡议》发布。倡议提出，要顺应可持续发展大趋势，推动教育科技人才一体发展，发挥高等教育龙头作用，重塑创新人才培养模式，坚持人的自由全面发展，扩大高水平国际交流合作，共绘人类命运共同体新图景。
education	2024高等教育国际论坛年会在北京召开	2024-10-14	http://edu.people.com.cn/n1/2024/1014/c367001-40339016.html	据介绍，“高等教育国际论坛年会”是中国高等教育学会的重要品牌活动，已成功举办23届。本次论坛由中国高等教育学会、北京理工大学共同主办，联合国教科文组织东亚多部门地区办事处、北京外国语大学、北京语言大学、联合国教科文组织亚太地区高等教育教席等协办。期间，还举办了中美高等教育对话会、中欧高等教育对话会、中外青年科技人员对话会等配套活动。（孙竞、李昉、实习生潘寒冰）
education	中国人民大学举办87周年校庆学术报告会	2024-10-14	http://edu.people.com.cn/n1/2024/1014/c1006-40339002.html	人民网北京10月14日电 13日，在中国人民大学87周年校庆之际，学校举办校庆学术报告会，集中发布一批代表性学术成果，展示学校建构中国自主知识体系的最新成就。
education	中国人民大学举办87周年校庆学术报告会	2024-10-14	http://edu.people.com.cn/n1/2024/1014/c1006-40339002.html	中国人民大学原校长、国家一级教授、经济学院教授刘伟作题为“高水平社会主义市场经济体制的内涵”的报告。他表示，构建高水平社会主义市场经济体制主要包括构建高水平社会主义市场经济竞争制度、构建高水平社会主义市场经济基础制度、构建科学有效的宏观经济治理体制等。
education	中国人民大学举办87周年校庆学术报告会	2024-10-14	http://edu.people.com.cn/n1/2024/1014/c1006-40339002.html	中国人民大学原常务副校长、国家一级教授、法学院教授王利明作题为“为建设全国统一大市场提供法治保障”的报告。他认为，要创造更加公平、更有活力的市场环境需要统筹发挥好民法典与反垄断法、反不正当竞争法的作用。
education	中国人民大学举办87周年校庆学术报告会	2024-10-14	http://edu.people.com.cn/n1/2024/1014/c1006-40339002.html	会议期间还设置了专题演讲环节，来自人大各学院的专家学者围绕“学科、学术与话语：延安十三年与中国特色哲学社会科学体系建构探源”“历史政治学与自主知识体系建设”“欧亚视野下中华文明的起源、形成和早期发展”“脑化学原位动态测量”等话题作演讲。
education	中国人民大学举办87周年校庆学术报告会	2024-10-14	http://edu.people.com.cn/n1/2024/1014/c1006-40339002.html	据悉，本次会议是中国人民大学推出的校庆系列学术活动之一。9月23日，中国人民大学学术周正式开启，中关村校区、通州校区、苏州校区有机联动，30余场专题学术报告会、40余场形式多样的学术讲座和研讨会陆续举行，涵盖中国式现代化理论构建与实践路径等七大专题，涉及新质生产力、自主知识体系、教育强国、国家安全、人类命运共同体以及大模型人工智能和生命资源前沿等重要议题。（郝孟佳、实习生田怡婷）
education	中国农业大学校长孙其信：科技创新是构建可持续农业粮食体系的关键	2024-10-14	http://edu.people.com.cn/n1/2024/1014/c1006-40338880.html	人民网北京10月14日电 “气候变化给全球粮食系统带来了深远的影响。当前我们所作出的选择关乎农业发展和生物技术的未来，更关乎全球人口的生活福祉。”2024世界农业科技创新大会（WAFI）10日至12日在北京平谷举办，中国工程院院士、中国农业大学校长孙其信在大会期间接受人民网专访时表示。
education	中国农业大学校长孙其信：科技创新是构建可持续农业粮食体系的关键	2024-10-14	http://edu.people.com.cn/n1/2024/1014/c1006-40338880.html	联合国粮食及农业组织发布的2024年《世界粮食安全和营养状况》报告指出，2023年约有7.33亿人面临饥饿。孙其信认为，气候变化等因素正在加剧全球粮食危机。数以亿计的人处在粮食不安全的状态下，而应对未来危机，科技创新是最重要的基础之一。
education	中国农业大学校长孙其信：科技创新是构建可持续农业粮食体系的关键	2024-10-14	http://edu.people.com.cn/n1/2024/1014/c1006-40338880.html	当前，大数据、人工智能等新技术正在日益改变农业的模样，成为应对全球粮食危机的新工具。孙其信谈到，科技创新是构建农业粮食体系和抵御风险的关键。通过创新，才能培育出更好抵御气候变化的新作物；才能不断改善农业实践，使之更可持续、更加高效；才能创造出一系列先进技术，减少农业系统的碳排放。
education	中国农业大学校长孙其信：科技创新是构建可持续农业粮食体系的关键	2024-10-14	http://edu.people.com.cn/n1/2024/1014/c1006-40338880.html	“这些年来，我国在促进农业科技创新方面，下了非常大的力气，也取得了很多成果，在不少领域都有很好的成效。但同时也有不少领域存在短板或‘卡脖子’的难题。”孙其信说。
education	中国农业大学校长孙其信：科技创新是构建可持续农业粮食体系的关键	2024-10-14	http://edu.people.com.cn/n1/2024/1014/c1006-40338880.html	“具体而言，比如在基础创新领域，我们还有很大的发展空间，需要不断攻关，创造出我们自己的基础科研成果和力量。再比如科技成果转化率不足的问题。一些科技成果非常好，但它能否从实验室走进田间地头？如果成果不能应用在生产中，或者说技术不能被农民掌握，那么它就很难发挥作用。”他谈到。
education	中国农业大学校长孙其信：科技创新是构建可持续农业粮食体系的关键	2024-10-14	http://edu.people.com.cn/n1/2024/1014/c1006-40338880.html	那么，如何更好应对和解决这些难题？孙其信告诉人民网记者，一方面，要不断鼓励基础创新，不断攻克“卡脖子”技术，补齐短板；另一方面，还要以更大的力度推动科技成果的转化，推动加快技术从实验室走向田间的步伐。
education	中国农业大学校长孙其信：科技创新是构建可持续农业粮食体系的关键	2024-10-14	http://edu.people.com.cn/n1/2024/1014/c1006-40338880.html	“当前，技术的发展正在展现出跨学科、跨领域的趋势，农业科技更是如此。更多的新技术越来越多地应用到农业科研中，使得农业科研发生了巨大的变化，助推农业生产力不断提高。然而，从科技领域来说，我国农业科技在支撑农业发展中的贡献率仍然偏低，因此要把科技作为第一资源，依靠科技的进步实现发展，推动农业现代化的实现。”孙其信说。
education	中国农业大学校长孙其信：科技创新是构建可持续农业粮食体系的关键	2024-10-14	http://edu.people.com.cn/n1/2024/1014/c1006-40338880.html	孙其信表示，绿色转型是全球发展的趋势，农业也是如此。可持续发展、增强农业和食物系统的韧性，是解决未来粮食危机必然的途径。“未来，农业系统转型发展大有作为，同时也将面临着诸多挑战。期待世界各国专家学者共同努力，为构建可持续农业粮食体系贡献更多智慧与力量。”孙其信说。（李依环、实习生田怡婷）
education	2025年度国家公务员考试笔试12月1日进行	2024-10-14	http://edu.people.com.cn/n1/2024/1014/c1006-40338824.html	人民网北京10月14日电 （记者郝孟佳）今天，国家公务员局网站发布公告称，根据工作安排，中央机关及其直属机构2025年度考试录用公务员笔试定于2024年11月30日、12月1日举行。
education	2025年度国家公务员考试笔试12月1日进行	2024-10-14	http://edu.people.com.cn/n1/2024/1014/c1006-40338824.html	公告表示，在公共科目中，行政职业能力测验笔试时间为2024年12月1日9：00—11：00 ，申论笔试时间为2024年12月1日14：00—17：00。
education	2025年度国家公务员考试笔试12月1日进行	2024-10-14	http://edu.people.com.cn/n1/2024/1014/c1006-40338824.html	在专业科目中，8个非通用语职位外语水平测试，金融监管总局及其派出机构职位、中国证监会及其派出机构职位以及公安机关人民警察职位专业科目笔试时间均为2024年11月30日14：00—16：00。
education	2025年度国家公务员考试笔试12月1日进行	2024-10-14	http://edu.people.com.cn/n1/2024/1014/c1006-40338824.html	公告称，本次招考主要采取网上报名方式，报考者可于2024年10月15日8：00至10月24日18：00期间登录专题网站进行报名并提交报考申请，每次只能选报1个职位。报考者提供虚假报考申请材料的，一经查实，将取消报考资格，涉及伪造、变造有关证件、材料、信息骗取考试资格的，将按有关规定严肃处理。
education	2025年度国家公务员考试笔试12月1日进行	2024-10-14	http://edu.people.com.cn/n1/2024/1014/c1006-40338824.html	招录机关于2024年10月15日8：00至10月26日18：00期间对报考申请进行审查，确认报考者是否具有报考资格。报考者可登录专题网站查询资格审查结果。通过资格审查的，不能再报考其他职位。2024年10月15日8：00至10月24日18：00期间，报考申请未审查或者未通过资格审查的，可以改报其他职位。
education	2025年度国家公务员考试笔试12月1日进行	2024-10-14	http://edu.people.com.cn/n1/2024/1014/c1006-40338824.html	通过资格审查的报考者，可于2024年10月28日8：00后登录专题网站查询报名序号，于2024年11月1日0：00至11月6日24：00登录专题网站进行网上报名确认并缴费。
education	2025年度国家公务员考试笔试12月1日进行	2024-10-14	http://edu.people.com.cn/n1/2024/1014/c1006-40338824.html	报名确认成功的报考者，可于2024年11月25日0：00至12月1日15：00期间登录专题网站打印准考证。2025年1月，考生可登录专题网站查询笔试成绩和合格分数线。
education	00后干部敖鹏举因公殉职 母校师生追思致敬	2024-07-25	http://edu.people.com.cn/n1/2024/0725/c1006-40285469.html	人民网北京7月25日电 （记者郝孟佳）7月16日凌晨，新疆乌恰县铁列克乡乡村振兴专干敖鹏举在抢险救灾过程中，不幸殉职，年仅22岁。惊闻学校毕业生因公殉职的消息，湖南中医药大学官微24日发文哀悼，师生也自发追思致敬。
education	00后干部敖鹏举因公殉职 母校师生追思致敬	2024-07-25	http://edu.people.com.cn/n1/2024/0725/c1006-40285469.html	据此前报道，7月15日，乌恰县铁列克乡突降暴雨。敖鹏举等5名同志前往该乡铁列克村入户排查险情，对居住在房屋有安全隐患的群众进行紧急疏散转移。途中，车辆行驶至托斯莫桥过水路面时，突遇山洪暴发，车辆被冲入河道，敖鹏举被洪水冲走失联。经过5小时的搜救，敖鹏举于7月16日3时40分在托斯莫桥下游4公里处被找到，但已不幸遇难。
education	00后干部敖鹏举因公殉职 母校师生追思致敬	2024-07-25	http://edu.people.com.cn/n1/2024/0725/c1006-40285469.html	敖鹏举2002年出生于湖南省衡阳县杉桥镇，2021年加入中国共产党，2019年9月至2023年6月就读于湖南中医药大学公共事业管理专业。毕业后，敖鹏举积极响应号召，毅然选择前往祖国西部，担任乌恰县铁列克乡乡村振兴专干，从此在新疆扎下了根。
education	00后干部敖鹏举因公殉职 母校师生追思致敬	2024-07-25	http://edu.people.com.cn/n1/2024/0725/c1006-40285469.html	敖鹏举曾写道：“我的每一次进步，每一次成长，都是在党和国家的关怀下取得的。作为新时代的青年党员干部，将时刻跟紧党的步伐，不负青春、不负人民”。
education	00后干部敖鹏举因公殉职 母校师生追思致敬	2024-07-25	http://edu.people.com.cn/n1/2024/0725/c1006-40285469.html	“敖鹏举是一个踏实做事、严于律己、向上向善的孩子。”湖南中医药大学人文与管理学院院长夏新斌说，“我为失去这样一位好学生、好校友感到万分悲痛，我为教育培养了这样优秀的学生、优秀的共产党员感到无比骄傲和自豪。”
education	00后干部敖鹏举因公殉职 母校师生追思致敬	2024-07-25	http://edu.people.com.cn/n1/2024/0725/c1006-40285469.html	“去新疆后，在他转发的视频号里，经常看到他穿着熟悉的衣服，但眼神中有了更多的坚定、热忱，看得出来，他是真的很热爱新疆的工作。”敖鹏举的大学同学们表示，同窗四年，敖鹏举是一个温暖阳光的男孩，大家将永远铭记他。
education	一屋仨室友同上清华！网友点赞：优秀真的会传染……	2024-07-25	http://edu.people.com.cn/n1/2024/0725/c1006-40285417.html	人民网北京7月25日电 近日，四川省绵阳市北川羌族自治县北川中学2021级11班的王子源、郭洋君、母翰尧，先后收到了清华大学录取通知书。值得关注的是，这三名同学不仅同班、而且同寝，都住3号楼3228房间。不少网友感叹道：优秀真的会传染……
education	一屋仨室友同上清华！网友点赞：优秀真的会传染……	2024-07-25	http://edu.people.com.cn/n1/2024/0725/c1006-40285417.html	据悉，他们三人中，王子源高考686分，通过国家专项计划被清华大学为先书院录取；母翰尧高考722分，被清华大学新雅书院录取；郭洋君高考686分，通过国家专项计划被清华大学能源与电气类录取。
education	一屋仨室友同上清华！网友点赞：优秀真的会传染……	2024-07-25	http://edu.people.com.cn/n1/2024/0725/c1006-40285417.html	2006年，母翰尧出生于北川。两年后的2008年，汶川特大地震发生了。这场大地震给北川造成了毁灭性打击，母翰尧的母亲不幸在这场地震中遇难。那一年，他仅仅两岁。十多年来，他对妈妈印象已渐渐模糊，只能通过照片抚今追昔，但他依然热爱生活。
education	一屋仨室友同上清华！网友点赞：优秀真的会传染……	2024-07-25	http://edu.people.com.cn/n1/2024/0725/c1006-40285417.html	从小学到高中，他一直保持着平和的心态，一步步向上向善，也一直是大家眼中的“学霸”，高中三年基本上都是全班第一。在班主任侯伟锋眼中，母翰尧一直是最让自己放心的学生。
education	一屋仨室友同上清华！网友点赞：优秀真的会传染……	2024-07-25	http://edu.people.com.cn/n1/2024/0725/c1006-40285417.html	被清华录取后，母翰尧带着一束鲜花和录取通知书，第一时间来到妈妈遇难的地方祭奠。“高考前已经计划好了，考上大学后就准备去遇难现场去纪念一下。”他说。
education	一屋仨室友同上清华！网友点赞：优秀真的会传染……	2024-07-25	http://edu.people.com.cn/n1/2024/0725/c1006-40285417.html	三人中，最让侯伟锋“操心”的是郭洋君。高一刚入校时，侯伟锋觉得他有点叛逆。但经过一段时间的观察和相处，“发现他很谦虚，可塑性很强”。进入高三，郭洋君更加明确了目标和努力方向，便积极刻苦地学习，最终也取得了好成绩。
education	一屋仨室友同上清华！网友点赞：优秀真的会传染……	2024-07-25	http://edu.people.com.cn/n1/2024/0725/c1006-40285417.html	王子源是班长，也是3228的寝室长。母翰尧和郭洋君评价他——“处事比较冷静沉稳。平时扫除、交电费等都是他负责，对寝室事务管理细心又完善。”因为有段时间学习成绩波动，他一度想“辞职”。然而老师驳回了他的请求，称“越没有信心，越要让你锻炼”。此后，王子源调整心态，很好地平衡了学习和班务，最终顺利考上理想的大学。
education	一屋仨室友同上清华！网友点赞：优秀真的会传染……	2024-07-25	http://edu.people.com.cn/n1/2024/0725/c1006-40285417.html	“这个宿舍学习风气很浓。每次查寝，他们要么在自己看书，要么在讨论问题。”谈到对3228寝室的印象，侯伟锋赞不绝口。3228寝室内务整洁、相处和谐，互相尊重对方的习惯和隐私。“三人即使有人偶尔在深夜学习，也会注意把台灯遮起来，不打扰别人休息。平时，他们常常互相鼓励，有人学习遇到瓶颈，会马上获得舍友的开导和安慰。”
education	一屋仨室友同上清华！网友点赞：优秀真的会传染……	2024-07-25	http://edu.people.com.cn/n1/2024/0725/c1006-40285417.html	据悉，寝室长王子源基本每天第一个到教室，最后几个离开。母翰尧则是要求自己尽量提前完成学习任务，不得拖延。郭洋君说，舍友的刻苦给了自己压力，但同时也是动力，督促自己一起努力、共同进步。
